year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,torque_nm,torque_max_rpm,engine_power_estimated,car_age,log_selling_price,brand
2014,450000,145500,Diesel,Individual,Manual,First Owner,23.4,1248,74.0,5,190.0,2000.0,39.794742905016236,6,13.017005083966255,Maruti
2014,370000,120000,Diesel,Individual,Manual,Second Owner,21.14,1498,103.52,5,250.0,1500.0,39.271127866792334,6,12.821260987319457,Skoda
2010,225000,127000,Diesel,Individual,Manual,First Owner,23.0,1396,90.0,5,219.66895999999997,1750.0,40.257689810451346,10,12.323860125621126,Hyundai
2007,130000,120000,Petrol,Individual,Manual,First Owner,16.1,1298,88.2,5,11.5,4500.0,5.419415645617343,13,11.775297421715827,Maruti
2017,440000,45000,Petrol,Individual,Manual,First Owner,20.14,1197,81.86,5,113.75,4000.0,47.6489684783747,3,12.994532278619134,Hyundai
2007,96000,175000,LPG,Individual,Manual,First Owner,17.3,1061,57.5,5,7.8,4500.0,3.6757775683317626,13,11.472113887062386,Maruti
2001,45000,5000,Petrol,Individual,Manual,Second Owner,16.1,796,37.0,4,59.0,2500.0,15.446643627604985,19,10.714439990727769,Maruti
2011,350000,90000,Diesel,Individual,Manual,First Owner,23.59,1364,67.1,5,170.0,1800.0,32.045240339302545,9,12.765691290604371,Toyota
2013,200000,169000,Diesel,Individual,Manual,First Owner,20.0,1399,68.1,5,160.0,2000.0,33.51136244632946,7,12.206077645517674,Ford
2014,500000,68000,Diesel,Individual,Manual,Second Owner,19.01,1461,108.45,5,248.0,2250.0,58.43543826578699,6,13.122365377402328,Renault
2005,92000,100000,Petrol,Individual,Manual,Second Owner,17.3,993,60.0,5,78.0,4500.0,36.757775683317625,15,11.429554725537322,Maruti
2009,280000,140000,Diesel,Individual,Manual,Second Owner,19.3,1248,73.9,5,190.0,2000.0,39.794742905016236,11,12.54254845357358,Maruti
2007,200000,80000,Petrol,Individual,Manual,Second Owner,19.369999999999997,1248,81.86,5,153.0,2000.0,39.271127866792334,13,12.206077645517674,Maruti
2009,180000,90000,Petrol,Individual,Manual,Second Owner,18.9,1061,67.0,5,84.0,3500.0,30.78856424756519,11,12.100717685412471,Maruti
2016,400000,40000,Petrol,Individual,Manual,First Owner,18.15,1198,82.0,5,115.0,3500.0,42.15101057702377,4,12.899222326086994,Mahindra
2012,500000,53000,Diesel,Individual,Manual,Second Owner,23.0,1396,90.0,5,219.66895999999997,1750.0,40.257689810451346,8,13.122365377402328,Hyundai
2002,150000,80000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5,62.0,3000.0,19.478479421929,18,11.918397239722838,Maruti
2016,680000,100000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,5,219.7,1500.0,34.5114671693371,4,13.429849547739444,Hyundai
2011,174000,100000,Diesel,Individual,Manual,Second Owner,21.0,1461,64.1,5,160.0,2000.0,33.51136244632946,9,12.066816325306588,Mahindra
2017,950000,50000,Diesel,Individual,Manual,First Owner,25.5,1498,98.6,5,200.0,1750.0,36.653052675672846,3,13.76421831620775,Honda
2015,525000,40000,Diesel,Individual,Manual,First Owner,26.59,1248,74.0,5,190.0,2000.0,39.794742905016236,5,13.171155446333852,Maruti
2012,600000,72000,Diesel,Individual,Manual,First Owner,21.5,1248,88.8,5,200.0,1750.0,36.653052675672846,8,13.304686600863562,Maruti
2016,575000,45000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,5,115.0,4000.0,48.1725835165986,4,13.26212705890841,Maruti
2017,275000,28000,Petrol,Individual,Manual,First Owner,24.7,796,47.3,5,69.0,3500.0,25.290606346214265,3,12.524530013005734,Maruti
2013,300000,70000,Diesel,Individual,Manual,First Owner,18.2,1248,73.8,7,172.5,1750.0,31.61325793276783,7,12.611541086966115,Chevrolet
2009,220000,120000,Petrol,Individual,Manual,First Owner,18.9,1061,67.0,5,84.0,3500.0,30.78856424756519,11,12.301387370778713,Maruti
2018,254999,25000,Petrol,Individual,Manual,First Owner,16.8,796,34.2,8,59.0,2500.0,15.446643627604985,2,12.449018824140563,Maruti
2017,670000,70000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5,200.0,1750.0,36.653052675672846,3,13.415034483903348,Maruti
2003,70000,50000,Petrol,Individual,Manual,Second Owner,19.369999999999997,1248,81.86,5,153.0,2000.0,39.271127866792334,17,11.156264806643742,Fiat
2012,150000,35000,Petrol,Individual,Manual,Second Owner,14.0,796,35.0,5,59.820564999999995,3000.0,18.793768457430094,8,11.918397239722838,Maruti
2017,650000,16200,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5,200.0,1750.0,36.653052675672846,3,13.384729180332174,Maruti
2019,330000,10000,CNG,Individual,Manual,Second Owner,33.44,796,40.3,4,60.0,3500.0,21.991831605403707,1,12.706850963741102,Maruti
2019,366000,15000,Petrol,Individual,Manual,First Owner,23.95,998,67.1,5,90.0,3500.0,32.98774740810556,1,12.810391344620207,Maruti
2019,1149000,5000,Petrol,Individual,Manual,First Owner,17.0,1591,121.3,5,151.0,4850.0,76.69389464865431,1,13.954403427152533,Hyundai
2016,150000,42000,Petrol,Individual,Manual,First Owner,20.63,1198,67.0,5,104.0,4000.0,43.5647711802283,4,11.918397239722838,Datsun
2011,425000,60000,Diesel,Individual,Manual,Second Owner,13.93,2179,138.03,7,320.0,1700.0,56.96931615876008,9,12.959846800844963,Tata
2012,150000,76000,Petrol,Individual,Manual,First Owner,16.1,796,37.0,4,59.0,2500.0,15.446643627604985,8,11.918397239722838,Maruti
2019,2100000,5000,Petrol,Individual,Automatic,First Owner,16.0,1368,160.77,5,250.0,1750.0,45.81631584459106,1,14.557448378884015,Jeep
2018,925000,28900,Petrol,Dealer,Manual,First Owner,17.8,1497,117.3,5,145.0,4600.0,69.85024609906796,2,13.73755009757506,Honda
2013,425000,86300,Petrol,Dealer,Manual,First Owner,16.8,1497,116.3,5,146.0,4800.0,73.38988375746152,7,12.959846800844963,Honda
2018,819999,32600,Diesel,Dealer,Manual,First Owner,24.3,1248,88.5,5,200.0,1750.0,36.653052675672846,2,13.617059619240436,Maruti
2018,390000,10300,Petrol,Dealer,Manual,First Owner,23.95,998,67.05,5,90.0,3500.0,32.98774740810556,2,12.873904582205107,Maruti
2014,1500000,77000,Diesel,Dealer,Manual,First Owner,12.55,2982,168.5,7,343.0,1400.0,50.287988271023146,6,14.220976332738882,Toyota
2013,700000,99000,Diesel,Dealer,Manual,First Owner,12.99,2494,100.0,7,200.0,1400.0,29.322442140538275,7,13.45883704259595,Toyota
